# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 EA_ERR_105 EA_ERR_125 EA_ERR_140 EA_ERR_160 EA_ERR_435 EA_ERR_606 EA_ERR_814 EA_ERR_K FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
1 1718.84 1266.27 3.60174764236 -30.4181521922 0.211528 0.00648239 3.54662 13.9769 0.00569 0.00528 0.00366 0.0063 0.00329 0.00339 0.00256 0.0166 0.00241 0.00305 0.00281 0.00182 0.00616 0.00217 0.00269 0.00235 0.05551 0.16514 0.18276 0.11408 0.17709 0.01145 0.17175 0.17089
2 3149.0 3827.0 3.57411092165 -30.3754747302 0.200434 0.014819 5.08539 7.6666 1.76602 1.30201 1.13458 2.2588 0.00319 0.0032 0.00264 0.01712 0.00231 0.0 0.0 0.00181 0.00582 0.00209 0.05001 0.0 0.00321 0.02237 0.02671 0.00822 0.06817 0.00484 0.11254 0.02517
3 3240.03 3814.18 3.57235235128 -30.3756881499 0.829151 0.218097 4.74088 7.8516 0.55879 0.0156 0.35899 2.2588 0.00323 0.00337 0.00269 0.01747 0.00239 0.00838 0.0072 0.00196 0.00583 0.00215 0.0777 0.14275 0.14799 0.18375 0.02746 0.28807 0.64422 0.03311 0.43899 0.38796
4 3192.51 3803.0 3.57327041685 -30.3758746092 0.177673 0.00682375 8.19302 11.4333 0.00458 0.00548 0.00294 0.0065 0.00337 0.00343 0.00263 0.01703 0.00235 0.00265 0.00257 0.00181 0.00581 0.00213 0.00243 0.00202 0.00607 0.0365 0.04071 0.02743 0.03092 0.00454 0.0377 0.03159
5 3197.49 3803.49 3.57317421215 -30.3758663548 0.163081 0.00627982 6.68941 10.1622 0.00486 0.00503 0.00312 0.0064 0.00325 0.00352 0.0026 0.01687 0.00236 0.00264 0.00262 0.00183 0.00583 0.00213 0.0025 0.00204 0.02066 0.04774 0.04998 0.03706 0.06309 0.0045 0.05061 0.06064
6 3194.66 3817.67 3.5732287639 -30.3756300533 0.112197 0.0108908 4.95792 7.41435 0.00679 0.00616 0.00436 0.01108 0.00328 0.00326 0.00266 0.01723 0.00237 0.00365 0.00447 0.00184 0.00584 0.00214 0.004 0.00312 0.01585 0.06675 0.07193 0.02709 0.0039 0.00507 0.04461 0.06432
7 3193.16 3814.15 3.57325779011 -30.375688763 0.282643 0.053948 8.30034 12.8328 0.00647 0.00571 0.00415 0.00686 0.00338 0.00343 0.00262 0.01702 0.00236 0.00309 0.00338 0.00184 0.00582 0.00213 0.00314 0.00246 0.01778 0.07026 0.07721 0.0356 0.04659 0.00512 0.05379 0.05988
8 3197.27 3810.05 3.57317832815 -30.3757570431 1.12506 0.388698 27.5338 42.6531 0.00581 0.00677 0.00373 0.00664 0.00326 0.00334 0.00275 0.01781 0.00237 0.00294 0.00294 0.00186 0.00584 0.00214 0.00277 0.00229 0.0383 0.0849 0.09403 0.05087 0.09209 0.007 0.07326 0.08362
9 3149.32 3815.76 3.57410465043 -30.3756620408 0.150758 0.0606065 5.58144 8.38709 0.00718 0.00777 0.00461 0.01076 0.00316 0.00326 0.00266 0.01723 0.00233 0.00424 0.00789 0.00184 0.00583 0.00211 0.01008 0.0058 0.01871 0.06776 0.08815 0.02636 0.05173 -0.00273 0.06454 0.06231
10 2946.17 3781.84 3.57802918218 -30.3762275337 0.0637717 0.00841656 4.80242 6.06547 0.00557 0.00492 0.00358 0.00788 0.00318 0.00339 0.00262 0.01698 0.00235 0.0029 0.00335 0.00182 0.00582 0.00212 0.00331 0.00259 0.00568 0.02773 0.04342 0.00465 0.07669 -0.00688 0.01689 0.02692
